http://www.cnta.com/4-lycs/city/haerpin/2j/g06.asp
哈尔滨市目前已经建成了比较完善的城市公共交通体系，现在城区内共有公共交通线路93条，各种公交车辆2382台。其中公共汽车公司线路46条，公共汽车1237台；公共电车公司线路12条，公共电车378台；联运线路35条，联运汽车767台，基本上形成了四通八达，出行方便的公共交通网络。为了方便市民和游客的游览需要，哈尔滨市还相继开通了市区防洪纪念塔至太阳岛和往返于市区内主要景点的市区旅游观光中巴线路，为城市旅游开放增添了新的色彩。
另外哈尔滨市还有连接市区与太阳岛的轮渡线路3条，轮渡船只34艘，为中外游客提供方便快捷的水上交通。
公共交通主要线路表(一)(仅供参考) 
路线 起点 终点 
汽车1路 车辆厂文化宫 港务局 
汽车2路 友谊路 红旗大街 
汽车3路 红旗大街 道外外环北路 
汽车4路 承德广场 新一街 
汽车5路 顾乡 红旗小区 
汽车6路 哈东站 哈尔滨火车站 
汽车7路 航运医院 省电力医院 
汽车8路 省体校 友谊宫 
汽车9路 九站 哈慈集团 
汽车10路 承德广场 黎明大市场 
汽车11路 医大二院 哈尔滨火车站 
汽车12路 大桥广场 港务局 
汽车13路 市二院 市人大 
汽车14路 大桥广场 文化公司 
汽车15路 二砖厂 道里西二道街 
汽车16路 友谊路 电力医院 
汽车17路 红旗大街 电碳厂 
汽车18路 松电新村 建设街 
汽车19路 靖宇二十道街 汽车三公司 
汽车20路 汽车齿轮厂 儿童医院 
汽车21路 农学院 工程街 
汽车22路 市供电设备公司 大桥广场 
汽车23路 煤气公司 黎明新区 
汽车25路 康安路 天恒商厦 
汽车26路 香德街 青年宫 
汽车27路 香坊火车站 韩家洼子 
汽车28路 肿瘤医院 承德广场 
电车101路 汽轮机厂 友谊路 
电车102路 锅炉厂 友谊路 
电车103路 市传染病院 友谊路 
电车104路 电影机厂 太平桥 
电车105路 太平桥 工程街 
电车106路 滨江站 电影机厂 
电车107路 投资专科学校 龙江锅炉厂 
电车108路 进乡街 龙江锅炉厂 
电车109路 文化街 道外十八道街 
电车110路 康安路 康安路 
电车112路 工程街 哈啤酒厂 
电车113路 清明二道街 油漆厂 
电车114路 九三五厂 南平街 
电车115路 市传染病院 大方里新区 
电车116路 道里公园街 和平小区 
联运51路 红旗大街 哈东站 
联运52路 哈东站 市第五医院 
联运53路 道外北头道街 电碳厂 
联运54路 开源街 松浦村 
联运55路 广播器材厂 宏伟公园 
联运56路 九站 莲草胡同 
联运57路 文兴街 红旗小区 
联运58路 北方剧场 二砖厂 
联运59路 公滨路 齿轮厂 
联运60路 道外十四道街 三鑫小区 
联运62路 东山 安乐街 
联运63路 和兴路 建工新区 
联运64路 工程街 拖配医院 
联运65路 哈东站 公路大桥 
联运66路 公路大桥 韩家洼子 
联运67路 红砖街 黄金医院 
联运68路 九三五厂 电力医院 
联运69路 气象台 肿瘤医院 
联运70路 建德小区 省航运医院 
联运72路 荣进街 承德广场 
联运75路 星光新区 工程街 
联运76路 松江机械分厂 红星村 
联运77路 公路大桥 建成厂 
联运78路 哈东站 先进街 
联运78路 水泥厂 市人大 
联运80路 河洲街 万友村 
联运81路 哈尔滨火车站 电缆一分厂 
联运82路 红旗小区 顾乡公园 
联运83路 青年宫 杨马架子 
联运84路 河鼓街 玛克威 
联运85路 青年宫 东北虎林园 
联运86路 前进路 木材东街 
联运87路 服装城 飞达板材市场 
联运88路 号钢屯 河鼓街 
联运89路 安隆街 哈东站 
